AAEL010001-RA AAEL010001 1725
AAEL010003-RB AAEL010003 640
AAEL010004-RC AAEL010004 2210
AAEL010005-RA AAEL010005 1300
AAEL024405-RA AAEL024405 413
AAEL010006-RB AAEL010006 1761
AAEL021384-RA AAEL021384 1938
AAEL010007-RA AAEL010007 2846
AAEL021386-RB AAEL021386 633
AAEL021387-RB AAEL021387 3012
AAEL002140-RA AAEL002140 345
AAEL003921-RA AAEL003921 400
AAEL002141-RA AAEL002141 2789
AAEL003922-RA AAEL003922 1478
AAEL002142-RA AAEL002142 948
AAEL002145-RB AAEL002145 2297
AAEL002148-RA AAEL002148 790
AAEL010010-RB AAEL010010 1650
AAEL024410-RB AAEL024410 1198
AAEL010011-RA AAEL010011 1058
AAEL010012-RA AAEL010012 577
AAEL024412-RA AAEL024412 1199
AAEL010015-RF AAEL010015 2115
AAEL021395-RA AAEL021395 3408
AAEL002152-RA AAEL002152 2739
AAEL002153-RA AAEL002153 1428
AAEL002155-RA AAEL002155 611
AAEL020072-RA AAEL020072 1549
AAEL021853-RA AAEL021853 1010
AAEL002157-RB AAEL002157 1577
AAEL002158-RA AAEL002158 601
AAEL020075-RA AAEL020075 2016
AAEL002159-RA AAEL002159 1215
AAEL007820-RC AAEL007820 565
AAEL007822-RB AAEL007822 498
AAEL007824-RA AAEL007824 168
AAEL007825-RB AAEL007825 825
AAEL015238-RA AAEL015238 293
AAEL024421-RA AAEL024421 571
AAEL024424-RB AAEL024424 605
AAEL024429-RB AAEL024429 1530
AAEL025290-RA AAEL025290 1619
AAEL025293-RA AAEL025293 1617
AAEL025294-RA AAEL025294 2710
AAEL025295-RJ AAEL025295 6742
AAEL002160-RA AAEL002160 1192
AAEL002161-RA AAEL002161 352
AAEL002163-RA AAEL002163 1068
AAEL002165-RA AAEL002165 821
AAEL002167-RA AAEL002167 1354
AAEL002169-RB AAEL002169 9168
AAEL021866-RA AAEL021866 1447
AAEL021868-RA AAEL021868 1371
AAEL007830-RB AAEL007830 1537
AAEL021869-RA AAEL021869 1754
AAEL007831-RA AAEL007831 705
AAEL007832-RB AAEL007832 2527
AAEL025750-RK AAEL025750 1561
AAEL007835-RA AAEL007835 2378
AAEL011352-RA AAEL011352 1036
AAEL011353-RA AAEL011353 1745
AAEL011354-RA AAEL011354 1612
AAEL007838-RC AAEL007838 657
AAEL011355-RC AAEL011355 1844
AAEL025755-RG AAEL025755 1509
AAEL007839-RB AAEL007839 1803
AAEL011356-RD AAEL011356 994
AAEL011357-RB AAEL011357 1023
AAEL011359-RB AAEL011359 4762
AAEL020542-RA AAEL020542 906
AAEL020543-RA AAEL020543 1869
AAEL015247-RC AAEL015247 2799
AAEL003490-RA AAEL003490 2158
