annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
zf-AD	343	243	17435	3722	1.08817064106702e-87	1.72148595416802e-84
zf-C2H2	485	280	17435	3722	3.74434392345571e-70	2.96177604345347e-67
zf-C2H2_6	128	73	17435	3722	1.20678650086602e-18	6.36378748123348e-16
zf-met	83	54	17435	3722	1.03948931050702e-17	4.11118022305525e-15
zf-C2H2_4	57	40	17435	3722	3.47712458420031e-15	1.10016221844098e-12
Helicase_C	83	47	17435	3722	2.35972838712066e-12	6.22181718070815e-10
DEAD	58	35	17435	3722	1.3106919951465e-10	2.9621639090311e-08
THAP	82	39	17435	3722	1.14668875860057e-07	2.26757702013263e-05
TUDOR	16	13	17435	3722	5.44570662247396e-07	9.572342085282e-05
zf-B_box	19	14	17435	3722	1.54298844250664e-06	0.00024410077160455
IBN_N	13	11	17435	3722	2.09629692843995e-06	0.000301485612799273
AAA_12	13	10	17435	3722	2.92378654175224e-05	0.00385452525754337
Cyclin_N	16	11	17435	3722	6.14136942672934e-05	0.00747357417929678
AAA_11	12	9	17435	3722	0.000106328939188539	0.0120151701283049
Pkinase	169	57	17435	3722	0.000125189265071882	0.0132032944895811
WD40	140	48	17435	3722	0.000267447734426404	0.0264438947414107
BESS	11	8	17435	3722	0.000377564354841291	0.0351356946681719
PAP_assoc	5	5	17435	3722	0.000442439506099584	0.0388855165916412
Cyclin_C	9	7	17435	3722	0.000479632605179078	0.0399357253364895
Brix	7	6	17435	3722	0.000539761932766591	0.0406620656017499
RNase_PH	7	6	17435	3722	0.000539761932766591	0.0406620656017499
FLYWCH	20	11	17435	3722	0.00100184638501091	0.0720418627766933
BHD_1	4	4	17435	3722	0.00207427730791336	0.111397257208312
BHD_3	4	4	17435	3722	0.00207427730791336	0.111397257208312
Cupin_8	6	5	17435	3722	0.00218287924997325	0.111397257208312
DUF4217	4	4	17435	3722	0.00207427730791336	0.111397257208312
Dus	4	4	17435	3722	0.00207427730791336	0.111397257208312
FtsJ	6	5	17435	3722	0.00218287924997325	0.111397257208312
HRDC	4	4	17435	3722	0.00207427730791336	0.111397257208312
Methyltr_RsmB-F	4	4	17435	3722	0.00207427730791336	0.111397257208312
MOZ_SAS	4	4	17435	3722	0.00207427730791336	0.111397257208312
SNF2_N	19	10	17435	3722	0.00263968764261272	0.130499557831666
F-box	14	8	17435	3722	0.00369081696113037	0.176935528257826
F-box-like	56	21	17435	3722	0.00417560307114322	0.194288354663193
Beta_helix	3	3	17435	3722	0.00972272170786384	0.244148345108581
BRCT	5	4	17435	3722	0.00860162851516844	0.244148345108581
BRCT_2	5	4	17435	3722	0.00860162851516844	0.244148345108581
DALR_1	3	3	17435	3722	0.00972272170786384	0.244148345108581
E2F_TDP	3	3	17435	3722	0.00972272170786384	0.244148345108581
ERCC4	3	3	17435	3722	0.00972272170786384	0.244148345108581
