annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
CRAL_TRIO	45	20	17435	2392	5.19610993303434e-07	0.000178572978031947
JHBP	24	14	17435	2392	4.08254187152289e-07	0.000178572978031947
LRR_8	129	40	17435	2392	3.05655192852923e-07	0.000178572978031947
EGF	26	14	17435	2392	1.53378936449587e-06	0.00039533420869881
Trypsin	324	75	17435	2392	2.55285950321905e-06	0.000526399629563769
Laminin_B	6	6	17435	2392	6.63259551391531e-06	0.00113970099580778
ABC2_membrane	20	11	17435	2392	1.60852997817563e-05	0.00236913486785582
EGF_CA	24	12	17435	2392	2.34897364863812e-05	0.00290231163688235
PP-binding	9	7	17435	2392	2.53354071114851e-05	0.00290231163688235
Serpin	25	12	17435	2392	3.95378646489404e-05	0.00407635384530575
CBM_14	101	29	17435	2392	6.13159455738909e-05	0.00547770951685694
Chitin_bind_4	201	48	17435	2392	6.82944856742996e-05	0.00547770951685694
Collagen	10	7	17435	2392	7.43820884927227e-05	0.00547770951685694
DUF1397	10	7	17435	2392	7.43820884927227e-05	0.00547770951685694
I-set	93	27	17435	2392	8.81062880616247e-05	0.00605583886610234
NAD_binding_4	27	12	17435	2392	0.000101297558565035	0.00652736143003447
adh_short	66	21	17435	2392	0.000126020164057267	0.0076427523025319
Sterile	24	11	17435	2392	0.000140841252420156	0.00788552084561269
TSP_1	17	9	17435	2392	0.000145319976786267	0.00788552084561269
Sushi	11	7	17435	2392	0.000180215960511921	0.00929013276438952
Reeler	6	5	17435	2392	0.000257426397732168	0.0126384102886602
ELO	22	10	17435	2392	0.000309279962032964	0.0144939836752721
Fasciclin	4	4	17435	2392	0.000353522012903734	0.0151867164709896
Lipase_GDSL	4	4	17435	2392	0.000353522012903734	0.0151867164709896
Laminin_G_2	16	8	17435	2392	0.000570688207665244	0.0235351816841146
Laminin_N	7	5	17435	2392	0.000798541833638839	0.0316652550185247
DOMON	10	6	17435	2392	0.000847288718808958	0.0323538766330383
EF-hand_7	47	15	17435	2392	0.00108903535036237	0.0400998373651285
SSF	14	7	17435	2392	0.00128415221693979	0.045653825367756
Claudin_2	5	4	17435	2392	0.00157388381431751	0.0491719458351924
Kunitz_BPTI	5	4	17435	2392	0.00157388381431751	0.0491719458351924
