"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"svalue_shrink"	"log2FC_shrink"	"comparison"	"samples_i"	"normcounts_i"	"samples_j"	"normcounts_j"	"gene_name"	"is_signif_pos"	"is_signif_neg"	"is_signif_any"
"AAEL000001"	854.445160661732	-1.46249232680199	0.108954662237389	-13.42294397293	4.43729237642509e-41	4.23289332775266e-40	1.00923337345644e-42	-1.45433957938039	"ALL.RUN-SRO"	"RUN"	395.289386801609	"SRO"	1068.34565031996	""	FALSE	TRUE	TRUE
"AAEL000004"	711.010051036155	-0.745222274193517	0.110208018226992	-6.76196057403558	1.36136754915615e-11	3.76027475380774e-11	2.08463256017238e-13	-0.738285181742799	"ALL.RUN-SRO"	"RUN"	462.097664503919	"SRO"	758.718259695211	"glycosyltransferase"	FALSE	FALSE	FALSE
"AAEL000005"	560.868415780379	-2.46683466611938	0.173657620373891	-14.205162208305	8.51053686489242e-46	9.46913278994712e-45	5.05037107660637e-47	-2.44827093926271	"ALL.RUN-SRO"	"RUN"	149.566335775543	"SRO"	808.146607659874	""	FALSE	TRUE	TRUE
"AAEL000006"	1719.36400622129	0.970720189428006	0.677099903687636	1.43364396323386	0.151673890934458	0.183959642369125	0.00824416031320352	0.726665402734949	"ALL.RUN-SRO"	"RUN"	1977.89514970526	"SRO"	990.245809531657	"phosphoenolpyruvate carboxykinase"	FALSE	FALSE	FALSE
"AAEL000008"	770.925931440028	-0.787706938678491	0.145941541709628	-5.39741412521012	6.76082148929693e-08	1.51106088764619e-07	1.28493787903907e-09	-0.775185853086653	"ALL.RUN-SRO"	"RUN"	492.529390360387	"SRO"	831.575458219649	"WD and tetratricopeptide repeat protein"	FALSE	FALSE	FALSE
"AAEL000010"	11144.7797158883	0.455309499117822	0.118389221350239	3.84586953039287	0.00012012567357559	0.000211846991194762	2.28082693370711e-06	0.450055990217869	"ALL.RUN-SRO"	"RUN"	10994.4617776329	"SRO"	7857.30836997112	"Rpl36-1 60S ribosomal protein L36"	FALSE	FALSE	FALSE
"AAEL000011"	1.03115194287442	0.306016447447033	3.55799764320792	0.0860080523187549	0.931460016123784	NA	0.0897225609723921	0.0227969960704253	"ALL.RUN-SRO"	"RUN"	0.988541571281102	"SRO"	0.798521628705357	""	FALSE	FALSE	FALSE
"AAEL000012"	4.24610191176622	4.13027300316296	1.50000973317238	2.75349746859829	0.00589622261833367	0.00872070919949073	0.00160903048731564	3.03879382310291	"ALL.RUN-SRO"	"RUN"	7.07596244855149	"SRO"	0.285916435728528	"Gr6 gustatory receptor Gr6"	FALSE	FALSE	FALSE
"AAEL000013"	421.892992506199	-1.16213905353846	0.152700826773289	-7.61056163280545	2.72907387559826e-14	8.70728236794762e-14	6.70032330356162e-16	-1.14625667345456	"ALL.RUN-SRO"	"RUN"	226.28587281907	"SRO"	496.273380478243	"peptidyl-prolyl cis-trans isomerase cyclophilin"	FALSE	TRUE	TRUE
"AAEL000016"	481.354658286653	-0.862094980472811	0.134609238243292	-6.4044265588567	1.5093558471085e-10	3.93461261187666e-10	2.76126733293193e-12	-0.850925187486078	"ALL.RUN-SRO"	"RUN"	295.944614223655	"SRO"	527.894214836518	"Esterase AAEL000016"	FALSE	FALSE	FALSE
"AAEL000017"	132.410008946257	-1.37674923758844	0.308123490623326	-4.46817357158753	7.88902831314377e-06	1.5294442820302e-05	2.95832111249395e-07	-1.31066832192728	"ALL.RUN-SRO"	"RUN"	62.7706723631175	"SRO"	161.417125856373	""	FALSE	TRUE	TRUE
"AAEL000018"	1.12111227435025	4.25321776069823	3.2105517655602	1.32476224377466	0.185250021204246	NA	0.0462453440937575	0.33000023957832	"ALL.RUN-SRO"	"RUN"	1.96044847854227	"SRO"	0	""	FALSE	FALSE	FALSE
"AAEL000020"	1001.61254346272	0.183617478785955	0.107850884033387	1.70251250540619	0.0886593362400438	0.111820034649824	0.00265932265643969	0.181735876797585	"ALL.RUN-SRO"	"RUN"	926.545157490384	"SRO"	799.366623990926	""	FALSE	FALSE	FALSE
"AAEL000021"	6.51524340487526	1.8760375824663	0.871812071553939	2.15188300744953	0.031406569919091	0.0424547171680754	0.00346099601806844	1.35862704845403	"ALL.RUN-SRO"	"RUN"	8.96004750087662	"SRO"	2.31139706032156	""	FALSE	FALSE	FALSE
"AAEL000022"	304.520181422953	1.05012628483429	0.142218194778881	7.38390953750334	1.53707902550354e-13	4.70543026341618e-13	3.26122488779199e-15	1.03699873620676	"ALL.RUN-SRO"	"RUN"	355.706480038347	"SRO"	168.394832968137	""	TRUE	FALSE	TRUE
"AAEL000024"	314.965044554422	1.30330271375667	0.177220474752776	7.35413171404028	1.92172169983352e-13	5.85073429956776e-13	5.19973022396426e-15	1.28193482877683	"ALL.RUN-SRO"	"RUN"	390.102081163855	"SRO"	154.026467018028	"dopachrome-conversion enzyme DCE2C putative"	TRUE	FALSE	TRUE
"AAEL000025"	8.07525267017929	2.34264883016735	1.02505059977225	2.28539823369485	0.0222894874904988	0.0307277582108825	0.00427726480042993	1.6034159964414	"ALL.RUN-SRO"	"RUN"	11.644495159926	"SRO"	2.34135802588879	"phosphoenolpyruvate carboxykinase"	FALSE	FALSE	FALSE
"AAEL000026"	142.701115386087	-1.54495501802998	0.244570788959169	-6.31700549605664	2.66680102062553e-10	6.84829578083001e-10	9.6307402364799e-12	-1.50316424285913	"ALL.RUN-SRO"	"RUN"	62.8151975154867	"SRO"	178.999049533917	"dynein light chain2C putative"	FALSE	TRUE	TRUE
"AAEL000027"	3.5807353448945	1.28076395373025	1.52120282298804	0.841941609873232	0.399820637856776	0.445148030384754	0.035600868580855	0.411431877664871	"ALL.RUN-SRO"	"RUN"	4.3302358420691	"SRO"	1.85982827852978	""	FALSE	FALSE	FALSE
"AAEL000028"	3022.74977866228	1.46039891566043	0.148802070786804	9.81437225932707	9.76438160030494e-23	4.59462769727536e-22	2.51002725940343e-24	1.44566784929048	"ALL.RUN-SRO"	"RUN"	3848.26383560372	"SRO"	1371.65243489929	"CLIPB34 Clip-Domain Serine Protease family B"	TRUE	FALSE	TRUE
