annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
I-set	93	51	17435	3660	7.6202600067789e-13	1.03330725691922e-09
Ig_3	92	44	17435	3660	8.54577191389929e-09	5.79403335762372e-06
Neur_chan_LBD	26	19	17435	3660	1.77583574677879e-08	8.02677757544013e-06
CRAL_TRIO	45	26	17435	3660	7.66406031753339e-08	2.59811644764382e-05
Sterile	24	17	17435	3660	2.15819562341928e-07	5.85302653071307e-05
Neur_chan_memb	22	16	17435	3660	2.7826353279695e-07	6.28875584121107e-05
NAD_binding_4	27	18	17435	3660	3.91955082604246e-07	7.59272988587655e-05
Ion_trans	43	24	17435	3660	5.85977966405062e-07	9.93232653056581e-05
TSP_1	17	13	17435	3660	1.51810440693027e-06	0.000226523520394343
UDPGT	34	20	17435	3660	1.67052743653645e-06	0.000226523520394343
ABC2_membrane	20	14	17435	3660	3.34232670408111e-06	0.000412017728248545
EGF	26	16	17435	3660	8.29381500493835e-06	0.000937201095558033
JHBP	24	15	17435	3660	1.22361775353114e-05	0.00127632744137556
Chitin_bind_4	201	68	17435	3660	1.49563736831257e-05	0.00144863162245132
CD36	13	10	17435	3660	2.50088759737603e-05	0.00220111884203618
V-set	20	13	17435	3660	2.59719037408399e-05	0.00220111884203618
PDZ	63	27	17435	3660	7.28813662257868e-05	0.00549039625567594
Proteasome	14	10	17435	3660	7.09614499876042e-05	0.00549039625567594
SNF	19	12	17435	3660	8.1486325565775e-05	0.00581555039301004
Collagen	10	8	17435	3660	0.000111761608581756	0.00757743706184308
adh_short	66	27	17435	3660	0.000188024112864695	0.0121409855735489
p450	152	51	17435	3660	0.000207790188066559	0.0128074315917388
fn3	44	20	17435	3660	0.000236384790093545	0.0138022358290031
Ion_trans_2	13	9	17435	3660	0.000244287359805365	0.0138022358290031
Laminin_G_2	16	10	17435	3660	0.000373666035736824	0.0202676457783653
Claudin_2	5	5	17435	3660	0.000406778227676404	0.0204293065455261
ig	5	5	17435	3660	0.000406778227676404	0.0204293065455261
CBM_14	101	36	17435	3660	0.00047313214795985	0.0221389294372722
CRAL_TRIO_N	7	6	17435	3660	0.000489799323833457	0.0221389294372722
Laminin_N	7	6	17435	3660	0.000489799323833457	0.0221389294372722
7tm_2	14	9	17435	3660	0.000556273997477335	0.0235721106431021
ELO	22	12	17435	3660	0.000553888023992196	0.0235721106431021
LRR_8	129	43	17435	3660	0.000731023853084806	0.0300384346903938
LRR_5	12	8	17435	3660	0.000816727245381344	0.0325730042569736
ABC_tran	58	23	17435	3660	0.000921595140431714	0.0357052288692972
C2-set_2	29	14	17435	3660	0.000970614837165851	0.036559825533247
DOMON	10	7	17435	3660	0.00117135039766344	0.0417987141903058
Laminin_G_1	10	7	17435	3660	0.00117135039766344	0.0417987141903058
Aa_trans	21	11	17435	3660	0.00146996353211589	0.0511095012704911
ADAM_spacer1	4	4	17435	3660	0.00193942868890246	0.0584414511589275
EF-hand_7	47	19	17435	3660	0.00191790226517765	0.0584414511589275
HRM	4	4	17435	3660	0.00193942868890246	0.0584414511589275
Ig_2	13	8	17435	3660	0.00173263106230291	0.0584414511589275
Lipase_GDSL	4	4	17435	3660	0.00193942868890246	0.0584414511589275
PLAC	4	4	17435	3660	0.00193942868890246	0.0584414511589275
MFS_1_like	6	5	17435	3660	0.00201417067926633	0.0593742487192422
Laminin_EGF	11	7	17435	3660	0.0026368969919623	0.074492340022935
Sushi	11	7	17435	3660	0.0026368969919623	0.074492340022935
Ldl_recept_a	29	13	17435	3660	0.0033594715056033	0.0911088672319614
SSF	14	8	17435	3660	0.00330110714873702	0.0911088672319614
ANF_receptor	23	11	17435	3660	0.00371356728764059	0.0987372008243263
PP-binding	9	6	17435	3660	0.00396687852088813	0.103443986044698
EF-hand_8	15	8	17435	3660	0.00578045359660008	0.141050613142903
EGF_CA	24	11	17435	3660	0.00557005767970676	0.141050613142903
LRR_1	15	8	17435	3660	0.00578045359660008	0.141050613142903
wnt	7	5	17435	3660	0.00582509906784851	0.141050613142903
EcKinase	48	18	17435	3660	0.00642424202248428	0.150194347973943
Lipase	41	16	17435	3660	0.00639188695544169	0.150194347973943
CH	25	11	17435	3660	0.00808561229056343	0.169404148826424
COLFI	3	3	17435	3660	0.00924476918374289	0.169404148826424
Eclosion	3	3	17435	3660	0.00924476918374289	0.169404148826424
F5_F8_type_C	5	4	17435	3660	0.00807003053380669	0.169404148826424
FERM_M	22	10	17435	3660	0.00871925804626518	0.169404148826424
MAM	3	3	17435	3660	0.00924476918374289	0.169404148826424
Na_Ca_ex	10	6	17435	3660	0.00816017070572518	0.169404148826424
Proton_antipo_M	3	3	17435	3660	0.00924476918374289	0.169404148826424
Retinin_C	3	3	17435	3660	0.00924476918374289	0.169404148826424
Somatomedin_B	3	3	17435	3660	0.00924476918374289	0.169404148826424
SPARC_Ca_bdg	3	3	17435	3660	0.00924476918374289	0.169404148826424
SRCR	3	3	17435	3660	0.00924476918374289	0.169404148826424
Troponin	3	3	17435	3660	0.00924476918374289	0.169404148826424
TRP_2	3	3	17435	3660	0.00924476918374289	0.169404148826424
WAP	5	4	17435	3660	0.00807003053380669	0.169404148826424
ZU5	5	4	17435	3660	0.00807003053380669	0.169404148826424
CAP	26	11	17435	3660	0.0113994689821199	0.205911224983946
MFS_1	69	23	17435	3660	0.011540747122994	0.205911224983946
Alpha-amylase	23	10	17435	3660	0.0125697893990533	0.212534814479793
Arrestin_C	23	10	17435	3660	0.0125697893990533	0.212534814479793
Arrestin_N	23	10	17435	3660	0.0125697893990533	0.212534814479793
EF-hand_1	8	5	17435	3660	0.0128524002856512	0.212534814479793
EF-hand_5	8	5	17435	3660	0.0128524002856512	0.212534814479793
Zona_pellucida	8	5	17435	3660	0.0128524002856512	0.212534814479793
7tm_1	86	27	17435	3660	0.0153801115106874	0.251270255524001
GMC_oxred_C	24	10	17435	3660	0.0175695977700152	0.280286759719301
GMC_oxred_N	24	10	17435	3660	0.0175695977700152	0.280286759719301
AMP-binding	38	14	17435	3660	0.0180982753044695	0.282128384838715
Annexin	6	4	17435	3660	0.0201817502428874	0.282128384838715
Cadherin	21	9	17435	3660	0.0195710910658526	0.282128384838715
Cu2_monoox_C	6	4	17435	3660	0.0201817502428874	0.282128384838715
Cu2_monooxygen	6	4	17435	3660	0.0201817502428874	0.282128384838715
G-gamma	6	4	17435	3660	0.0201817502428874	0.282128384838715
GD_N	6	4	17435	3660	0.0201817502428874	0.282128384838715
GPHH	6	4	17435	3660	0.0201817502428874	0.282128384838715
Innexin	6	4	17435	3660	0.0201817502428874	0.282128384838715
Laminin_B	6	4	17435	3660	0.0201817502428874	0.282128384838715
Spaetzle	6	4	17435	3660	0.0201817502428874	0.282128384838715
Thioesterase	6	4	17435	3660	0.0201817502428874	0.282128384838715
Actin	18	8	17435	3660	0.021553142166859	0.289366938398621
Hemocyanin_C	18	8	17435	3660	0.021553142166859	0.289366938398621
Hemocyanin_M	18	8	17435	3660	0.021553142166859	0.289366938398621
Hemocyanin_N	18	8	17435	3660	0.021553142166859	0.289366938398621
AMP-binding_C	32	12	17435	3660	0.0239621405046578	0.306534552116188
An_peroxidase	15	7	17435	3660	0.0233014852285697	0.306534552116188
Guanylate_kin	9	5	17435	3660	0.023959302491605	0.306534552116188
Mpv17_PMP22	9	5	17435	3660	0.023959302491605	0.306534552116188
Pep_M12B_propep	9	5	17435	3660	0.023959302491605	0.306534552116188
BTB_2	12	6	17435	3660	0.0243910636873056	0.309105442616696
Cuticle_4	22	9	17435	3660	0.0270838985409515	0.340053392791947
Aminotran_3	4	3	17435	3660	0.0311607906682642	0.355075900387951
Ca_chan_IQ	4	3	17435	3660	0.0311607906682642	0.355075900387951
Calponin	4	3	17435	3660	0.0311607906682642	0.355075900387951
DUF829	4	3	17435	3660	0.0311607906682642	0.355075900387951
EF-hand_6	4	3	17435	3660	0.0311607906682642	0.355075900387951
FAD-oxidase_C	4	3	17435	3660	0.0311607906682642	0.355075900387951
HNOB	4	3	17435	3660	0.0311607906682642	0.355075900387951
HYR	4	3	17435	3660	0.0311607906682642	0.355075900387951
L27	4	3	17435	3660	0.0311607906682642	0.355075900387951
PG_binding_1	4	3	17435	3660	0.0311607906682642	0.355075900387951
SDF	4	3	17435	3660	0.0311607906682642	0.355075900387951
CUB	26	10	17435	3660	0.031700245865189	0.358212778276635
ACAS_N	2	2	17435	3660	0.044057971891796	0.364284206617533
Acylphosphatase	2	2	17435	3660	0.044057971891796	0.364284206617533
BetaGal_dom4_5	2	2	17435	3660	0.044057971891796	0.364284206617533
C4	2	2	17435	3660	0.044057971891796	0.364284206617533
CLCA	2	2	17435	3660	0.044057971891796	0.364284206617533
CUT	2	2	17435	3660	0.044057971891796	0.364284206617533
Destabilase	2	2	17435	3660	0.044057971891796	0.364284206617533
DUF1397	10	5	17435	3660	0.0397584342774849	0.364284206617533
DUF3808	2	2	17435	3660	0.044057971891796	0.364284206617533
DUF4481	2	2	17435	3660	0.044057971891796	0.364284206617533
DUF4749	2	2	17435	3660	0.044057971891796	0.364284206617533
EMI	2	2	17435	3660	0.044057971891796	0.364284206617533
Ephrin_rec_like	2	2	17435	3660	0.044057971891796	0.364284206617533
FAD_binding_2	2	2	17435	3660	0.044057971891796	0.364284206617533
Gln-synt_C	2	2	17435	3660	0.044057971891796	0.364284206617533
Glyco_hydro_15	2	2	17435	3660	0.044057971891796	0.364284206617533
Glyco_transf_29	2	2	17435	3660	0.044057971891796	0.364284206617533
Glyoxalase	2	2	17435	3660	0.044057971891796	0.364284206617533
Homeobox	93	27	17435	3660	0.0411630113181728	0.364284206617533
KR	7	4	17435	3660	0.039323951809606	0.364284206617533
LIM	30	11	17435	3660	0.0354922653683301	0.364284206617533
Melibiase_2	2	2	17435	3660	0.044057971891796	0.364284206617533
Melibiase_2_C	2	2	17435	3660	0.044057971891796	0.364284206617533
MIG-14_Wnt-bd	2	2	17435	3660	0.044057971891796	0.364284206617533
MPC	2	2	17435	3660	0.044057971891796	0.364284206617533
Myofilin	2	2	17435	3660	0.044057971891796	0.364284206617533
NDUFA12	2	2	17435	3660	0.044057971891796	0.364284206617533
NTR	2	2	17435	3660	0.044057971891796	0.364284206617533
Oxidored_q6	2	2	17435	3660	0.044057971891796	0.364284206617533
