annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
CaMKII_AD	1	1	17435	49	0.00281043877258391	0.00281043877258391
DUF2358	1	1	17435	49	0.00281043877258391	0.00281043877258391
DUF4414	1	1	17435	49	0.00281043877258391	0.00281043877258391
IFT43	1	1	17435	49	0.00281043877258391	0.00281043877258391
IMS_HHH	1	1	17435	49	0.00281043877258391	0.00281043877258391
MCRS_N	1	1	17435	49	0.00281043877258391	0.00281043877258391
RBM39linker	1	1	17435	49	0.00281043877258391	0.00281043877258391
REV1_C	1	1	17435	49	0.00281043877258391	0.00281043877258391
SIP1	1	1	17435	49	0.00281043877258391	0.00281043877258391
IMS	3	1	17435	49	0.00840812373514854	0.00840812373514854
IMS_C	3	1	17435	49	0.00840812373514854	0.00840812373514854
LysM	3	1	17435	49	0.00840812373514854	0.00840812373514854
Myosin_TH1	3	1	17435	49	0.00840812373514854	0.00840812373514854
S-methyl_trans	3	1	17435	49	0.00840812373514854	0.00840812373514854
Tim44	3	1	17435	49	0.00840812373514854	0.00840812373514854
Biopterin_H	4	1	17435	49	0.0111954115929377	0.0111954115929377
CIDE-N	4	1	17435	49	0.0111954115929377	0.0111954115929377
Methyltransf_16	4	1	17435	49	0.0111954115929377	0.0111954115929377
zf-Tim10_DDP	4	1	17435	49	0.0111954115929377	0.0111954115929377
BRCT_2	5	1	17435	49	0.0139750240553288	0.0139750240553288
DFRP_C	5	1	17435	49	0.0139750240553288	0.0139750240553288
IRS	5	1	17435	49	0.0139750240553288	0.0139750240553288
adh_short	66	2	17435	49	0.0148024792759599	0.0148024792759599
Hairy_orange	6	1	17435	49	0.0167469818190288	0.0167469818190288
IBR	7	1	17435	49	0.0195113055261188	0.0195113055261188
RWD	7	1	17435	49	0.0195113055261188	0.0195113055261188
Ribosomal_L7Ae	8	1	17435	49	0.0222680157641967	0.0222680157641967
Amidase_2	9	1	17435	49	0.0250171330665178	0.0250171330665178
Cyclin_C	9	1	17435	49	0.0250171330665178	0.0250171330665178
CD36	13	1	17435	49	0.0359380816892044	0.0359380816892044
Cyclin_N	16	1	17435	49	0.0440500654277601	0.0440500654277601
TUDOR	16	1	17435	49	0.0440500654277601	0.0440500654277601
FHA	18	1	17435	49	0.0494208679459107	0.0494208679459107
Myosin_head	18	1	17435	49	0.0494208679459107	0.0494208679459107
ABC_membrane	21	1	17435	49	0.0574216922427836	0.0574216922427836
SH3_1	27	1	17435	49	0.0732259388336063	0.0732259388336063
Metallophos	28	1	17435	49	0.0758346204166229	0.0758346204166229
SH2	29	1	17435	49	0.0784361085305766	0.0784361085305766
LIM	30	1	17435	49	0.081030422599403	0.081030422599403
Pkinase	169	2	17435	49	0.0817252472319031	0.0817252472319031
HLH	53	1	17435	49	0.138763525965522	0.138763525965522
Sugar_tr	61	1	17435	49	0.157999465084431	0.157999465084431
MFS_1	69	1	17435	49	0.176814340401734	0.176814340401734
Ank_2	93	1	17435	49	0.230821929108836	0.230821929108836
Homeobox	93	1	17435	49	0.230821929108836	0.230821929108836
RRM_1	129	1	17435	49	0.305385454114937	0.305385454114937
Trypsin	324	1	17435	49	0.601651833063436	0.601651833063436
